time,open,high,low,close,volume
2021-01-15 16:41:00,567.23,567.23,567.23,567.23,100
2021-01-15 16:03:00,567.23,567.23,567.23,567.23,7747
2021-01-15 16:02:00,567.23,567.23,567.23,567.23,3315
2021-01-15 16:01:00,567.23,567.23,567.23,567.23,1165
2021-01-15 16:00:00,566.91,567.39,566.18,567.23,11377
2021-01-15 15:59:00,566.66,567.06,566.34,567.06,7233
2021-01-15 15:58:00,567.6684,568.03,566.24,566.91,9777
2021-01-15 15:57:00,568.975,569.12,567.55,568.05,11417
2021-01-15 15:56:00,569.07,569.44,568.52,568.83,9080
2021-01-15 15:55:00,568.09,569.655,568.09,569.275,13566
2021-01-15 15:54:00,566.95,568.14,566.735,568.14,6273
2021-01-15 15:53:00,566.16,567.29,566.16,566.57,4914
2021-01-15 15:52:00,565.52,566.29,565.475,566.29,3554
2021-01-15 15:51:00,566.0,566.385,565.69,565.69,3354
2021-01-15 15:50:00,565.15,565.24,565.07,565.19,1625
2021-01-15 15:49:00,564.88,565.32,564.83,564.99,2633
2021-01-15 15:48:00,566.29,566.32,565.0,565.0,4582
2021-01-15 15:47:00,565.7,566.14,565.7,565.985,2482
2021-01-15 15:46:00,565.41,566.0,565.41,566.0,4409
2021-01-15 15:45:00,564.685,565.26,564.685,565.25,4053
2021-01-15 15:44:00,565.41,565.41,564.98,564.98,1999
2021-01-15 15:43:00,565.69,565.78,565.62,565.62,1377
2021-01-15 15:42:00,565.76,565.76,565.44,565.44,2380
2021-01-15 15:41:00,565.39,565.76,565.38,565.695,1277
2021-01-15 15:40:00,565.34,565.34,565.34,565.34,522
2021-01-15 15:39:00,565.61,565.61,565.38,565.38,906
2021-01-15 15:38:00,564.83,565.48,564.82,565.48,1050
2021-01-15 15:37:00,565.27,565.27,564.99,564.99,1026
2021-01-15 15:36:00,565.25,565.51,565.25,565.51,1586
2021-01-15 15:35:00,564.57,564.57,564.57,564.57,308
2021-01-15 15:34:00,564.86,564.86,564.86,564.86,297
2021-01-15 15:33:00,564.42,564.87,564.42,564.87,958
2021-01-15 15:32:00,564.77,564.77,564.529,564.741,1213
2021-01-15 15:31:00,565.21,565.21,565.21,565.21,344
2021-01-15 15:30:00,565.36,565.36,565.1,565.14,1517
2021-01-15 15:28:00,565.315,565.315,565.315,565.315,270
